Tx de succes : 0.73 pour k = 10 en 9.225 sec.Coefs : 1, 1, 2, 5, 1, 10
Tx de succes : 0.728 pour k = 10 en 9.202 sec.Coefs : 1, 1, 2, 5, 1, 20
Tx de succes : 0.728 pour k = 10 en 9.213 sec.Coefs : 1, 1, 2, 5, 2, 10
Tx de succes : 0.728 pour k = 10 en 9.186 sec.Coefs : 1, 1, 2, 5, 2, 20
Tx de succes : 0.727 pour k = 10 en 9.207 sec.Coefs : 1, 1, 2, 5, 3, 10
Tx de succes : 0.732 pour k = 10 en 9.182 sec.Coefs : 1, 1, 2, 5, 3, 20
Tx de succes : 0.731 pour k = 10 en 9.189 sec.Coefs : 1, 1, 3, 1, 1, 10
Tx de succes : 0.73 pour k = 10 en 9.158 sec.Coefs : 1, 1, 3, 1, 1, 20
Tx de succes : 0.728 pour k = 10 en 9.2 sec.Coefs : 1, 1, 3, 1, 2, 10
Tx de succes : 0.732 pour k = 10 en 9.178 sec.Coefs : 1, 1, 3, 1, 2, 20
Tx de succes : 0.727 pour k = 10 en 9.179 sec.Coefs : 1, 1, 3, 1, 3, 10
Tx de succes : 0.731 pour k = 10 en 9.173 sec.Coefs : 1, 1, 3, 1, 3, 20
Tx de succes : 0.726 pour k = 10 en 9.229 sec.Coefs : 1, 1, 3, 2, 1, 10
Tx de succes : 0.729 pour k = 10 en 9.191 sec.Coefs : 1, 1, 3, 2, 1, 20
Tx de succes : 0.727 pour k = 10 en 9.247 sec.Coefs : 1, 1, 3, 2, 2, 10
Tx de succes : 0.733 pour k = 10 en 9.207 sec.Coefs : 1, 1, 3, 2, 2, 20
Tx de succes : 0.727 pour k = 10 en 9.236 sec.Coefs : 1, 1, 3, 2, 3, 10
Tx de succes : 0.732 pour k = 10 en 9.178 sec.Coefs : 1, 1, 3, 2, 3, 20
Tx de succes : 0.728 pour k = 10 en 9.222 sec.Coefs : 1, 1, 3, 3, 1, 10
Tx de succes : 0.728 pour k = 10 en 9.186 sec.Coefs : 1, 1, 3, 3, 1, 20
Tx de succes : 0.728 pour k = 10 en 9.217 sec.Coefs : 1, 1, 3, 3, 2, 10
Tx de succes : 0.733 pour k = 10 en 9.214 sec.Coefs : 1, 1, 3, 3, 2, 20
Tx de succes : 0.727 pour k = 10 en 9.223 sec.Coefs : 1, 1, 3, 3, 3, 10
Tx de succes : 0.73 pour k = 10 en 9.203 sec.Coefs : 1, 1, 3, 3, 3, 20
